first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
Erik,,Paulsen,1930,RepErikPaulsen,MN,,,R
Pedro,,Pierluisi,1953,PedroPierluisi,PR,,,D
Chellie,,Pingree,1927,ChelliePingree,ME,,,D
Jared,,Polis,1910,JaredPolis,CO,,,D
Bill,,Posey,1915,CongBillPosey,FL,,,R
Steven,,Palazzo,2035,CongPalazzo,MS,,,R
Mike,,Pompeo,2022,RepMikePompeo,KS,,,R
Donald,M.,Payne Jr.,2097,RepDonaldPayne,NJ,,,D
Scott,,Perry,2157,RepScottPerry,PA,,,R
Robert,,Pittenger,2141,RepPittenger,NC,,,R
Mark,,Pocan,2171,RepMarkPocan,WI,,,D
Scott,,Peters,2113,RepScottPeters,CA,,,D
Gary,,Palmer,2221,USRepGaryPalmer,AL,,,R
Stacey,,Plaskett,2274,,VI,,,D
Bruce,,Poliquin,2247,RepPoliquin,ME,,,R
Mike,,Quigley,1967,RepMikeQuigley,IL,,,D
Charles,B.,Rangel,944,CBRangel,NY,,,D
Harold,,Rogers,977,RepHalRogers,KY,,,R
Dana,,Rohrabacher,979,,CA,,,R
Ileana,,Ros-Lehtinen,985,RosLehtinen,FL,,,R
Lucille,,Roybal-Allard,997,RepRoybalAllard,CA,,,D
Ed,,Royce,998,RepEdRoyce,CA,,,R
Bobby,L.,Rush,1003,RepBobbyRush,IL,,,D
Paul,D.,Ryan,1560,RepPaulRyan,WI,,,R
Mike,D.,Rogers,1704,RepMikeRogersAL,AL,,,R
C.A. Dutch,,Ruppersberger,1728,Call_Me_Dutch,MD,,,D
Tim,,Ryan,1756,RepTimRyan,OH,,,D
Dave,,Reichert,1810,DaveReichert,WA,,,R
Peter,,Roskam,1848,PeterRoskam,IL,,,R
Phil,,Roe,1954,DrPhilRoe,TN,,,R
Tom,,Rooney,1916,TomRooney,FL,,,R
Tom,,Reed,1982,RepTomReed,NY,,,R
Jim,,Renacci,2048,RepJimRenacci,OH,,,R
Reid,,Ribble,2073,RepRibble,WI,,,R
Cedric,,Richmond,2023,RepRichmond,LA,,,D
Scott,,Rigell,2068,RepScottRigell,VA,,,R
Martha,,Roby,1986,RepMarthaRoby,AL,,,R
Todd,,Rokita,2017,ToddRokita,IN,,,R
Dennis,,Ross,2003,RepDennisRoss,FL,,,R
Tom,,Rice,2160,RepTomRice,SC,,,R
Keith,,Rothfus,2158,KeithRothfus,PA,,,R
Raul,,Ruiz,2109,CongressmanRuiz,CA,,,D
Amata,Coleman,Radewagen,2222,,AS,,,R
John,,Ratcliffe,2268,RepRatcliffe,TX,,,R
Kathleen,,Rice,2262,RepKathleenRice,NY,,,D
David,,Rouzer,2256,RepDavidRouzer,NC,,,R
Steve,,Russell,2265,USRepRussell,OK,,,R
Matt,,Salmon,1009,RepMattSalmon,AZ,,,R
Loretta,,Sanchez,1522,LorettaSanchez,CA,,,D
Mark,,Sanford,1012,RepSanfordSC,SC,,,R
